Timestamp,Prolific ID,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?
4/18/2024 15:37:21,65cc2139907d390e13480a97,A because its slightly more blue gree,A because it looks closer,B because it is faster to get to ,A because its closer to blue,B because the time is less,B because it looks closer,A because it looks closer,A because its closer to blue,B because it is closer,A because it looks easier to get to,A because it looks closer,B because it looks easier to get to,A because it looks closer,B because it is closer
4/18/2024 15:43:03,651c030f2d73237898bbac48,A because it looks closer than B,A because it looks closer than B,B because it is closer than A,A because it looks closer than B,B because it is closer than A,A because it looks to be a little closer than B,"A, because it looks slightly closer than B. ",A because it looks closer than B,B because it looks closer than A,A because it is closer than B,B because it is slightly closer of a drive than A. ,B because it is closer than A,"A, because it looks closer than B ","B, because it is a lot closer. "
4/18/2024 15:48:58,61002866f050cf47fd48f674,"B, because it seems closer.","B, because it seems a bit closer but I imagine crossing the water won’t be as hard as it would be if I chose A. It looks like there’s 2 bridges leading to B’s location but only 1 all the way at the top for A’s location.","B, because it seems closer.","B, because it seems a bit closer but I imagine crossing the water won’t be as hard as it would be if I chose A. It looks like there’s 2 bridges leading to B’s location but only 1 all the way at the top for A’s location.","B, because it wouldn’t take as long as it would to go to A’s location:","B, because it’s closer.","B, because it seems closer.","A, because while it seems like it would be easier to get to B, it would take longer to get to B instead of A.","B, because it’s closer.","A, because according to the transit time it would take a shorter time to get there.","A, because it seems closer.","B, because while it’s still on the other side, it would’ve take as long because it’s not in the yellow.","B, because it seems a bit closer but I imagine crossing the water won’t be as hard as it would be if I chose A. It looks like there’s 2 bridges leading to B’s location but only 1 all the way at the top for A’s location.","B, because it’s closer."
4/18/2024 15:49:49,6614370279248680be3254bb,"A, because the time seems to be lower","A, because it seems to be faster","B, because it seems to be faster","A, because it seems to be closer","B, because it seems to be faster","A, because the time seems to be lower",A because it seems to be closer,"A, because it seems to be closer","B, because it seems to be closer","A, because it seems to be faster","A, because it seems to be closer","B, because it seems to be faster","A, because it seems to be closer","B, because it seems to be closer"
4/18/2024 15:50:43,5c068b50daea63000120146f,"B, because I like the closer location. ","A, because I like the closer location. ","B, because I like the closer location. ","A, because I like the closer location. ","A, because I like the closer location. ","B, because I like the closer location. ","A, because I like the closer location. ","A, because I like the closer location. ","A, because I like the closer location. ","B, because I like the closer location. ","A, because I like the closer location. ","B, because I like the closer location. ","A, because I like the closer location. ","B, because I like the closer location. "
4/18/2024 16:04:51,5f29c0faf0ba1413f69fb423,A because it seems closer,A because it seems closer,B because it is closer,A because it seems closer,B because its closer,B because it seems closer,A because it seems closer,A because it seems closer,B because it seems closer,A because it seems closer,A because it seems closer,B because it's closer ,A because it seems closer,B because its closer
4/18/2024 16:05:09,6103122eb08df918649a930c,A because the ride there is shorter.,A because it is closer.,B because it is on my side of town,A because it is more vertically closer.,B because the time travelled is shorter.,B because it is closer to my location,A because the distance seems closer and it looks less yellow than B.,A because the ride is shorter,"B, because the transit time is shorter than a transit ride to A",A because the travel time is shorter.,A because it seems closer even though it is in the yellow section.,"B, because the ride there would be much shorter meaning the restaurant is closer to my location.",B because it is not as far out as A.,B because it is nearby
4/18/2024 16:05:23,66201fe5fdec22406c643f03,"A, because although it appears to be off the map entirely, it is now shown to be near any high travel time zones while B is in close proximity to one. ","A, because btoh have high estimates, but A seems closer to the starting point. ","B, because the travel map estimates a shorter time by approximately 5-10 minutes","A, because while both are estimated to take 70+ minutes, A is in closer proximity to a low estimate zone. ","B, because it is approximately the same distance from the starting point and has a lower travel time estimate.","A, because although it appears to be off the map entirely, B is definitely within a 70 minute estimate.  ","A, because being closer in proximity to the starting point seems to be the only real advantage it presents.","A, because while both are estimated to take 70+ minutes, A is in closer proximity to a low estimate zone. ","B, because although the point seems to be in a slightly higher travel time zone, the proximity to the starting point is much shorter in general. ","A, because travel map estimates almost half the travel time","B, because both points seem to be between areas of high and low time estimates. B seems to be closer to, or further immersed in the lower estimate zone.","B, because the travel map estimates a shorter time by approximately 15 minutes.","A because despite both showing the same estimate, A seems to be at least somewhat closer to the starting point.  ","B, because it is both closer in proximity and shows to have a lower travel time estimate."
4/18/2024 16:05:41,661feb024cb2d0b93285f33d,"B, because it appears closer. ","A, because it is up north and seems closer. ","B, because it is somewhat nearer. ","A, because it appears nearest. ","B, because it is nearer. ","B, because it is somewhat nearer. Though both appear too far. ","A, because it seems somewhat closer than B. ","A, because it seems nearest. ","B, because it is nearest. ","A, because it will take less time to travel.","A, because it appears nearest. ","B, because it is nearest. ","A, because it is nearest. ","B, because it is nearby."
4/18/2024 16:07:58,6595f3373adc1905f775babb,B because it’s closer ,B because I feel as if it is closer to where I am,B because shorter time frame ,A because it would take shorter time ,B because it’s closer ,B because it’s closer,A because it may take less time ,A because it seems closer ,B because it’s closer ,A because it’s a shorter distance ,B because i feel it’s still closer to where i am ,B because it’s closer ,a because it seem closer ,B because it’s close
4/18/2024 16:12:32,65e277d17092065ed43b7baa,A because it appears closer,A because it’s closer. ,B because it appears closer. ,A because it appears closer,A because it appears closer,B because it’s closer,A because it appears closer,A because it appears closer ,B because it appears closer. ,B because it appears closer,B because it appears closer,B because it appears closer,A because it appears closer,B because it appears closer
4/18/2024 16:12:40,611d3a87f742f3ede204a781,A because it seems to be faster,A because there are places around it that are faster to get to,B because it seems to be faster,A because there are closer places around it,B because it seems to be faster,A because it seems to be faster,A because there are places around it that are faster to get to,A because it seems to be slightly faster,A because it seems to be slightly faster,A because it seems to be faster,B because it seems to be faster,B because it seems to be faster,A because there are places around it that are faster to get to,B because it seems to be faster
4/18/2024 16:13:53,5d1acc6eb0c5a8001786de55,b because its closer,a because its closer,b because its closer,a because its easy to get back home,b because its an easier drive,a because it takes less time,a because its easier to get back home,a because its closer,b because its closer,a because it takes less time,a because its closer,b because its closer,a because its easier to get back home,b because its closer and i dont have to cross the river
4/18/2024 16:15:40,5e724373a7892a1749fd479d,"A, because I could walk to an area with better transport.","A, because it is closer to better transit areas","B, because it will take slightly less time to travel to.","A, because I could walk to an area with better transport.","B, because it will take less time to travel.","B, because it is physically closer so I could walk part of the way.","B, because though  options are essentially the same in terms of travel and distance, so it would depend on the restaurant’s menu.","A, because it is closer to other areas that are easier to travel to and from than B","B, because it is about the same travel time and physically closer","A, because it has better transit","A, because it is closer to better transit I could walk to","B, because it is closer and has better transit","A, because I could walk to an area with better transport.","B, because it is more convenient in all ways"
