Timestamp,Prolific ID,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?,Restaurant A or B?
4/18/2024 15:51:10,610a99bbe11c8fa8959a57f8,A because I'd get there faster,A because I'd get there faster,B because it's more like 80% I'd get there and A is like 20%,A because I'd get there faster,"B, because 100% chance",A because it's more likely than B,A because it seems I'd get there faster than b,B because it seems slightly higher probability I'd get there faster than A,B because it's the same likeliness as a but closer mileage wise,A because I'd get there faster,B because I'd get there faster,"B, because I'd get there faster",A because I'd get there faster,B because its 100% I'd get there in 45 mins or less
4/18/2024 16:07:11,65fc93727db987d55b3a0b0e@email.prolific.com,"A, because it seems a bit closer somehow.",A because it appears to have faster travel time.,"B, because it seems much closer with a shorter travel time ","A, because it appears to have shorter teavel time","B, because travel time is shorter ","B, because it somehow seems closer.","A, because it appears to have shorter travel time,","B, because it seems closer ","B, because it's closer ","A, because travel time is shorter ","B, because it appears to have shorter travel time ","B, because it's closer and has shorter travel time ","A, because it appears to have shorter travel time ","B, because it's closer "
4/18/2024 16:11:01,582c83a0bbb67e0001e49ec1,"B, because it is cloer to the higher percentage area; but there seems to be about the same chance of getting there in about the same amount of time.","A, because A is very close to a 50 percent area ( if not in it), and B is about 15%","B, because B is ~ 50 percent and A is about 15%","A, because is seems slightly higher in percentage, closer to the higher percentage areas, and physically seems closer of the map can be interpreted that way.","B, because it is in the 100% range, where A is at best 50%","A, because A is closer to the higher percentage area than B","A, because it is closer to the higher percentage area","A, because even though both seem to have a low percentage chance to get thiere within 45 minutes, A is closer to some areas with a higher percentage","B, because even though both are in the 100% range, if I'm interpreting this right, B is closer","A, because the chances of getting there within 45 minutes are mich greater","A, because it looks like its percentage might be slightly higher ( but B is also about the same percentage)","B, because B seems to be about 80% compared to A at 15%","A, because it is closer to the higher percentage area.","B, because it's in the 100% area"
4/18/2024 16:13:22,5e9a85295bb4c912892ff75f,B because there's more information of its surroundings,A because it's relatively closer,B because it looks slightly faster to get to,A because it seems easier to return from,B because it's quicker to get to,A because there are more areas to get to quicker in the upper part of the map,A because it seems relatively closer to other things,A because it seems relatively closer to other things,B because it's closer,A because it's quicker to get to,A because it's closer to other things as well,B because A seems to be in the middle of nowhere,A because it seems relatively closer to other things,B because it's quicker to get to
4/18/2024 16:13:42,662144afba2e8979a754e7a9,"A, because of distance travelled in high confidence level","A, because it is closer to high travel time confidence area","B, because of proximity to high travel time confidence area","A, because of proximity to high travel time confidence area","B, because it is in high travel time confidence area","A, because it is closer to a high travel time confidence area","A, because of proximity to high travel time confidence area","A, because it is close to a high travel time confidence area","B, because of proximity and transit travel time confidence","A, because it falls in the high travel time confidence percentage","A, because of proximity to high travel confidence area","B, because it falls in the high travel time confidence area","A, because it is closer to a high travel time confidence area","B, because of its short proximity to the red dot"
4/18/2024 16:14:38,610080ad2ac3f5037a48d318,"A, because honestly they’re about the same distance but I feel A has a tad bit higher confidence level","A, because the confidence level is slightly higher ","B, because it’s slightly closer to me and the confidence rate it higher","A, because the confidence level is higher","B, because the confidence rate is at 100% so I feel I’d get there the quickest ","B, because it’s closer to me","A, because the confidence level is slightly higher","A, because it’s closer even though the confidence levels are about the same I still Feel with it being closer it’d be faster ","B, because even though the confidence level is the same B is still way closer to me","A, because while B is closer the about of time if will probably take me to get to B wouldn’t be worth it to me","A, because A is just a tad bit closer to my precise location ","B, because it’s closer and the confidence level is higher so I feel I’d get there faster","A, because it’s slightly closer and the confidence level is higher","B, because it’s the closest to me and the confidence level is at 100%"
4/18/2024 16:15:30,62c61250e85c96fc1794c7db,A because it’s faster ,B because it’s faster,B because it’s faster ,B because it’s faster,B because it’s faster,B because it’s faster ,A because it’s faster ,A because I feel like it would benefit me,B because it’s faster ,B because it could be faster ,A because it’s faster,B because it’s faster ,A because it’s faster,B because it’s faster
4/18/2024 16:16:21,661c4ebad9779f82d5e0b948,A because seems to be higher confidence level,A because higher confidence ,B because it is in the green color which means a higher confidence level ,A because seems to be a slightly higher confidence level,B because of a higher confidence level,B because is closer to my current location,B because higher confidence ,B because seems to be higher confidence,B because is closer to my current location,A because higher confidence level,A because closer to my current location,B because is closer to my current location,A because seems to be higher confidence level,B because is closer to my current location
4/18/2024 16:16:58,65d282870b64bbe7b18e1bcb,B because I can more easily see the surrounding area on the map. ,B because I can more easily see the surroundings on the map. ,A because I can more easily see the surroundings on the map. ,B because I can barely see more surroundings on the map. ,B because it’s closer ,B because A is off the map. ,B because A is almost off the map. ,A because I can more easily see the surroundings on the map. ,B because it’s closer. ,A because it’s closer. ,A because I can more easily see the surroundings on the map. ,B because it seems closer. ,B because A is halfway off the map. ,B because it’s closer. 
4/18/2024 16:21:33,661fc812af06e5961450b19e,"B, because you travel through more yellow area","A, because similar distance and mostly yellow ","B, because slightly closer and mostly yellow ","A, because similar distance and mostly yellow ","B, because similar distance and more yellow ","B, because closer and similar yellow","A, because similar distance and more yellow","A, because slightly closer and mostly yellow ","B, because closer and all yellow","A, because you travel through more yellow and the distance doesn't seem to be that big of a difference ","A, because slightly closer and mostly yellow","B, because closer and more yellow","A, because similar distance and More yellow","B, because closer and all yellow"
